,0,1,2,3,4,5
4492,그랜저 뉴 럭셔리,LPI Q270 장애인용,08/08식(09년형),"236,779km",LPG(일반인 구입),299
4493,더 럭셔리 그랜저,LPI Q270 모범형,10/03식,"127,763km",LPG(일반인 구입),500
4494,그랜저 IG 하이브리드,익스클루시브 스페셜,17/12식(18년형),"94,130km",가솔린+전기,"2,790"
4495,그랜저 HG 하이브리드,프리미엄,15/12식(16년형),"115,548km",가솔린+전기,"1,780"
4496,그랜저 IG,2.4 프리미엄 스페셜,18/04식,"37,713km",가솔린,"2,470"
4497,더 뉴 그랜저 IG,3.0 LPi (택시형) 고급형,21/01식,"78,965km",LPG(일반인 구입),"2,650"
4498,그랜저 IG 하이브리드,익스클루시브 스페셜,19/06식,"53,000km",가솔린+전기,"3,240"
4499,그랜저 HG,HG300 프리미엄,14/01식,"43,632km",가솔린,"1,450"
4500,그랜저 IG 하이브리드,익스클루시브 스페셜,19/06식,"53,000km",가솔린+전기,"3,240"
4501,그랜저 HG,HG300 프리미엄,14/01식,"43,632km",가솔린,"1,450"
4502,더 뉴 그랜저 IG,2.5 르블랑,22/04식,38km,가솔린,"3,600"
4503,그랜저 TG,LPI Q270 장애인용,06/02식,"161,077km",LPG(일반인 구입),330
4504,그랜저 HG,HG240 모던,14/11식(15년형),"61,700km",가솔린,"1,320"
4505,그랜저 HG,LPG HG300 프라임,11/12식(12년형),"267,869km",LPG(일반인 구입),699
4506,그랜저 HG,HG240 럭셔리,11/02식,"109,431km",가솔린,930
4507,그랜저 IG,3.0 익스클루시브 스페셜,18/07식(19년형),"36,880km",가솔린,"2,770"
4508,그랜저 HG 하이브리드,프리미엄,16/12식(17년형),"142,308km",가솔린+전기,"1,520"
4509,그랜저 HG,LPG HG300 모던,14/03식,"157,751km",LPG(일반인 구입),990
4510,그랜저 HG,LPG HG300 프리미엄,14/04식,"267,569km",LPG(일반인 구입),850
4511,그랜저 HG,LPG HG300 모던,13/03식,"159,161km",LPG(일반인 구입),950
4512,그랜저 IG,3.0 익스클루시브,17/09식(18년형),"125,664km",가솔린,"1,950"
4513,그랜저 뉴 럭셔리,Q270 럭셔리 기본형,09/01식,"107,022km",가솔린,380
4514,그랜저 IG 하이브리드,익스클루시브 스페셜,19/04식,"152,203km",가솔린+전기,"2,690"
4515,그랜저 IG,3.0 LPi 모던 베이직 (렌터카),17/03식(18년형),"108,056km",LPG(일반인 구입),"1,690"
4516,그랜저 IG,3.0 LPI 모던,17/11식(18년형),"84,970km",LPG(일반인 구입),"1,820"
4517,그랜저 IG,3.0 익스클루시브 스페셜,17/03식,"114,151km",가솔린,"2,030"
4518,그랜저 HG,HG240 모던,13/02식,"98,000km",가솔린,"1,170"
4519,더 뉴 그랜저 IG 하이브리드,익스클루시브,20/04식,"33,504km",가솔린+전기,"3,850"
4520,그랜저 HG,HG240 럭셔리,11/04식,"163,492km",가솔린,690
4521,그랜저 HG,HG300 프리미엄 컬렉션,16/05식(17년형),"43,000km",가솔린,"1,700"
4522,그랜저 IG,2.2 디젤 프리미엄 스페셜,17/02식,"163,000km",디젤,"1,900"
4523,그랜저 HG,HG240 럭셔리,11/04식,"183,837km",가솔린,580
4524,그랜저 HG,HG300 익스클루시브,13/12식(14년형),"207,682km",가솔린,669
4525,그랜저 IG,3.0 익스클루시브 스페셜,19/03식,"32,903km",가솔린,"2,750"
4526,그랜저 IG,2.4 프리미엄,18/03식,"117,749km",가솔린,"1,799"
4527,그랜저 IG,3.3 셀러브리티,17/12식(18년형),"58,831km",가솔린,"2,650"
4528,그랜저 IG,3.0 익스클루시브 스페셜,19/03식,"58,811km",가솔린,"2,599"
4529,그랜저 IG,3.0 익스클루시브,18/03식,"71,639km",가솔린,"2,250"
4530,그랜저 IG,2.4 프리미엄,18/11식(19년형),"25,344km",가솔린,"2,630"
4531,그랜저 IG,3.0 LPi 모던 베이직 (렌터카),17/05식(18년형),"65,147km",LPG(일반인 구입),"1,819"
4532,그랜저 IG,3.0 LPi 모던 베이직 (렌터카),19/05식,"135,776km",LPG(일반인 구입),"1,560"
4533,,,,,,
4534,그랜저 IG,3.0 LPi 모던 (렌터카),17/02식,"150,034km",LPG(일반인 구입),"1,449"
4535,더 뉴 그랜저 IG 하이브리드,캘리그래피,20/09식,"134,329km",가솔린+전기,"3,189"
4536,그랜저 IG,3.0 LPi 모던 베이직 (렌터카),18/09식(19년형),"193,147km",LPG(일반인 구입),"1,279"
4537,그랜저 IG,2.4 프리미엄,17/01식,"161,416km",가솔린,"1,439"
4538,더 뉴 그랜저 IG,3.3 프리미엄 초이스,20/04식,"93,792km",가솔린,"2,599"
4539,그랜저 IG,2.4 프리미엄,18/03식,"224,299km",가솔린,"1,289"
4540,그랜저 IG,3.0 익스클루시브 스페셜,19/03식,"32,903km",가솔린,"2,750"
4541,그랜저 IG,2.4 프리미엄,18/03식,"117,749km",가솔린,"1,799"
4542,그랜저 IG,3.3 셀러브리티,17/12식(18년형),"58,831km",가솔린,"2,650"
4543,그랜저 IG,3.0 익스클루시브 스페셜,19/03식,"58,811km",가솔린,"2,599"
4544,그랜저 IG,3.0 익스클루시브,18/03식,"71,639km",가솔린,"2,250"
4545,그랜저 HG,LPG HG300 프라임,11/09식,"163,749km",LPG(일반인 구입),830
4546,그랜저 HG,HG240 럭셔리,11/04식,"232,591km",가솔린,590
4547,그랜저 HG,HG220 디젤 프리미엄,14/08식(15년형),"224,644km",디젤,899
4548,그랜저 IG,3.0 LPi 모던 (렌터카),18/04식,"267,782km",LPG(일반인 구입),"1,099"
4549,그랜저 HG,HG240 럭셔리,12/04식,"271,156km",가솔린,599
4550,그랜저 IG,2.4 프리미엄 스페셜,17/07식(18년형),"72,341km",가솔린,"2,190"
4551,더 뉴 그랜저 IG,3.3 르블랑,21/11식(22년형),"5,797km",가솔린,"4,090"
4552,그랜저 TG,LPI Q270 모범형,06/06식,"362,275km",LPG(일반인 구입),240
4553,그랜저 HG,HG240 럭셔리,11/07식,"50,488km",가솔린,750
4554,그랜저 HG,LPG HG300 익스클루시브,15/08식(16년형),"148,231km",LPG(일반인 구입),"1,550"
4555,그랜저 뉴 럭셔리,Q270 프리미어 기본형,08/04식(09년형),"123,323km",가솔린,390
4556,,,,,,
4557,그랜저 HG,HG240 모던,14/05식,"133,000km",가솔린,"1,190"
4558,그랜저 IG,2.4 프리미엄,16/12식(17년형),"88,000km",가솔린,"1,900"
4559,그랜저 HG,HG240 모던,14/01식,"112,640km",가솔린,"1,130"
4560,그랜저 HG,HG240 럭셔리,12/02식,"97,163km",가솔린,"1,019"
4561,그랜저 IG 하이브리드,프리미엄,19/02식,"35,047km",가솔린+전기,"2,970"
4562,그랜저 IG 하이브리드,프리미엄,18/01식,"63,677km",가솔린+전기,"2,750"
4563,그랜저 IG,3.0 LPI 택시형 개인형,17/11식(18년형),"319,955km",LPG(일반인 구입),999
4564,그랜저 TG,Q270 디럭스 기본형,06/05식,"106,088km",가솔린,249
4565,그랜저 HG,HG300 익스클루시브,13/03식,"261,387km",가솔린,599
4566,그랜저 IG 하이브리드,익스클루시브 스페셜,17/07식(18년형),"70,569km",가솔린+전기,"2,950"
4567,그랜저 IG,3.0 익스클루시브 스페셜,17/02식,"149,948km",가솔린,"1,890"
4568,그랜저 HG,HG300 노블,12/10식,"90,711km",가솔린,"1,230"
4569,더 뉴 그랜저 IG,2.5 프리미엄 초이스,20/05식,"44,832km",가솔린,"3,160"
4570,그랜저 HG,LPG HG300 모던,15/02식,"110,668km",LPG(일반인 구입),"1,370"
4571,그랜저 HG,HG220 디젤 모던,15/01식,"150,096km",디젤,"1,130"
4572,그랜저 HG,HG240 럭셔리,12/02식,"75,012km",가솔린,"1,080"
4573,그랜저 HG,HG240 모던,15/09식(16년형),"162,687km",가솔린,"1,080"
4574,그랜저 IG,2.4 프리미엄 스페셜,17/07식(18년형),"72,341km",가솔린,"2,190"
4575,더 뉴 그랜저 IG,3.3 르블랑,21/11식(22년형),"5,797km",가솔린,"4,090"
4576,그랜저 뉴 럭셔리,Q270 럭셔리 기본형,09/01식,"192,516km",가솔린,300
4577,그랜저 IG,3.0 익스클루시브 스페셜,19/12식,"54,608km",가솔린,"2,620"
4578,더 뉴 그랜저 IG,3.3 캘리그래피,20/05식,"30,893km",가솔린,"3,650"
4579,더 뉴 그랜저 IG,3.3 캘리그래피,20/07식,"21,931km",가솔린,"3,690"
4580,그랜저 HG,LPG HG300 모던,15/11식(16년형),"83,586km",LPG(일반인 구입),"1,350"
4581,그랜저 IG,3.0 LPi 모던 (렌터카),18/01식,"130,023km",LPG(일반인 구입),"1,690"
4582,그랜저 IG,2.4 프리미엄 스페셜,18/09식(19년형),"39,974km",가솔린,"2,587"
4583,그랜저 HG,HG240 럭셔리,11/06식,"76,539km",가솔린,"1,000"
4584,그랜저 IG 하이브리드,프리미엄,19/02식,"35,047km",가솔린+전기,"2,970"
4585,그랜저 IG 하이브리드,프리미엄,18/01식,"63,677km",가솔린+전기,"2,750"
4586,그랜저 IG,3.0 LPi 모던 (렌터카),19/04식,"60,703km",LPG(일반인 구입),"2,299"
4587,그랜저 IG,2.4 스페셜,19/01식,"99,727km",가솔린,"2,290"
4588,그랜저 HG,LPG HG300 모던,15/02식,"110,668km",LPG(일반인 구입),"1,370"
4589,그랜저 IG 하이브리드,익스클루시브 스페셜,19/02식,"21,203km",가솔린+전기,"3,249"
4590,그랜저 HG,LPG HG300 익스클루시브,15/07식(16년형),"137,000km",LPG(일반인 구입),"1,330"
4591,더 뉴 그랜저 IG,3.3 프리미엄,21/06식(22년형),"6,309km",가솔린,"3,550"
4592,그랜저 HG,LPG HG300 모던,15/11식(16년형),"83,586km",LPG(일반인 구입),"1,350"
4593,그랜저 HG,LPG HG300 모던,15/11식(16년형),"83,573km",LPG(일반인 구입),"1,400"
4594,그랜저 IG,3.0 LPi 모던 (렌터카),18/01식,"130,023km",LPG(일반인 구입),"1,690"
4595,그랜저 IG,2.4 프리미엄 스페셜,18/09식(19년형),"39,974km",가솔린,"2,587"
4596,더 뉴 그랜저 IG,3.3 프리미엄 초이스,20/02식,"19,712km",가솔린,971
4597,그랜저 IG,3.0 LPi 모던 (렌터카),18/12식(19년형),"34,793km",LPG(일반인 구입),"2,270"
4598,더 뉴 그랜저 IG,3.0 LPi 익스클루시브,20/03식,"36,000km",LPG(일반인 구입),"3,690"
4599,그랜저 HG,HG300 프라임,11/04식,"98,000km",가솔린,980
4600,그랜저 뉴 럭셔리,Q270 럭셔리 기본형,09/01식,"146,070km",가솔린,290
4601,그랜저 IG,2.4 프리미엄 스페셜,17/05식(18년형),"158,787km",가솔린,"1,670"
4602,더 뉴 그랜저 IG,3.3 캘리그래피,21/04식,"31,723km",가솔린,"3,496"
4603,그랜저 HG,HG240 모던,13/11식(14년형),"142,809km",가솔린,780
4604,그랜저 HG 하이브리드,프리미엄,14/06식(15년형),"210,795km",가솔린+전기,"1,099"
4605,그랜저 HG,LPG HG300 이그제큐티브,12/11식,"233,210km",LPG(일반인 구입),649
4606,더 뉴 그랜저 IG,2.5 캘리그래피,20/01식,"17,000km",가솔린,"3,780"
4607,그랜저 뉴 럭셔리,Q270 럭셔리 기본형,09/01식,"89,608km",가솔린,570
4608,그랜저 HG,HG240 럭셔리,12/07식,"70,816km",가솔린,"1,070"
4609,그랜저 HG,HG240 모던,16/01식,"67,300km",가솔린,"1,540"
4610,그랜저 HG,HG300 프리미엄,13/03식,"99,955km",가솔린,"1,160"
4611,그랜저 HG,HG240 모던,14/07식(15년형),"61,321km",가솔린,"1,480"
4612,그랜저 IG,2.4 프리미엄 스페셜,17/04식(18년형),"77,292km",가솔린,"2,200"
4613,그랜저 IG,3.0 LPi 모던 (렌터카),18/06식(19년형),"149,678km",LPG(일반인 구입),"1,599"
4614,그랜저 IG 하이브리드,익스클루시브 스페셜,17/07식(18년형),"132,173km",가솔린+전기,"2,330"
4615,그랜저 HG,HG240 럭셔리,12/07식,"122,375km",가솔린,900
4616,더 뉴 그랜저 IG,3.3 프리미엄 초이스,20/06식,"83,918km",가솔린,"2,950"
4617,그랜저 IG 하이브리드,익스클루시브 스페셜,17/12식(18년형),"120,506km",가솔린+전기,"2,450"
4618,그랜저 HG,HG240 모던,14/05식,"189,550km",가솔린,740
4619,그랜저 HG,LPG HG300 택시형,14/04식,"340,315km",LPG(일반인 구입),490
4620,그랜저 IG,2.4 프리미엄,18/07식(19년형),"70,775km",가솔린,"2,290"
4621,그랜저 IG,3.0 익스클루시브 스페셜,19/02식,"54,365km",가솔린,"2,990"
4622,그랜저 HG,HG300 프리미엄,15/08식(16년형),"175,218km",가솔린,"1,050"
4623,더 뉴 그랜저 IG 하이브리드,캘리그래피,20/09식,"23,446km",가솔린+전기,"4,250"
4624,그랜저 IG,2.4 프리미엄 스페셜,17/04식(18년형),"167,000km",가솔린,"1,280"
4625,그랜저 IG,2.4 익스클루시브 스페셜,19/04식,"74,674km",가솔린,"2,590"
4626,그랜저 HG,HG240 럭셔리,12/04식,"153,712km",가솔린,830
4627,그랜저 HG,HG240 모던,14/07식(15년형),"61,321km",가솔린,"1,480"
4628,그랜저 HG,HG300 프리미엄,13/03식,"99,955km",가솔린,"1,160"
4629,그랜저 HG,HG300 익스클루시브,13/01식,"114,987km",가솔린,"1,130"
4630,그랜저 IG,2.2 디젤 프리미엄,18/04식,"182,844km",디젤,"1,750"
4631,그랜저 IG 하이브리드,익스클루시브 스페셜,17/07식(18년형),"119,200km",가솔린+전기,"2,599"
4632,그랜저 IG 하이브리드,익스클루시브,17/12식(18년형),"245,618km",가솔린+전기,"1,599"
4633,그랜저 IG,3.0 LPi 모던 (렌터카),18/07식(19년형),"50,000km",LPG(일반인 구입),"2,230"
4634,그랜저 IG,2.4 프리미엄,17/02식,"90,000km",가솔린,"2,020"
4635,그랜저 IG,3.3 셀러브리티,19/03식,"30,000km",가솔린,"2,989"
4636,그랜저 IG 하이브리드,익스클루시브 스페셜,18/04식,"160,000km",가솔린+전기,"2,299"
4637,그랜저 IG,2.4 프리미엄,18/02식,"130,000km",가솔린,"1,719"
4638,그랜저 IG 하이브리드,익스클루시브 스페셜,19/01식,"110,000km",가솔린+전기,"2,649"
4639,그랜저 IG 하이브리드,익스클루시브 스페셜,18/04식,"60,000km",가솔린+전기,"2,980"
4640,그랜저 IG 하이브리드,익스클루시브 스페셜,18/12식(19년형),"111,740km",가솔린+전기,"2,669"
4641,그랜저 IG,3.0 익스클루시브,17/06식(18년형),"100,000km",가솔린,"1,899"
4642,,,,,,
4643,그랜저 IG,2.4 프리미엄 스페셜,17/12식(18년형),"80,000km",가솔린,"2,099"
4644,더 뉴 그랜저 IG 하이브리드,캘리그래피,20/10식,"13,351km",가솔린+전기,"4,230"
4645,그랜저 IG 하이브리드,익스클루시브 스페셜,18/03식,"85,596km",가솔린+전기,"3,100"
4646,그랜저 TG,Q270 럭셔리 기본형,07/05식,"197,718km",가솔린,290
4647,그랜저 TG,LPI Q270 장애인용,06/04식,"162,000km",LPG(일반인 구입),350
4648,그랜저 HG,HG220 디젤 프리미엄,14/09식(15년형),"178,649km",디젤,930
4649,그랜저 TG,LPI Q270 모범형 팩1,07/11식(08년형),"179,602km",LPG(일반인 구입),350
4650,그랜저 HG,HG220 디젤 프리미엄,14/09식(15년형),"178,649km",디젤,930
4651,그랜저 TG,LPI Q270 모범형 팩1,07/11식(08년형),"179,602km",LPG(일반인 구입),350
4652,그랜저 HG,HG300 익스클루시브,15/10식(16년형),"175,571km",가솔린,"1,090"
4653,그랜저 HG 하이브리드,프리미엄,15/12식(16년형),"80,713km",가솔린+전기,"1,820"
4654,그랜저 HG 하이브리드,프리미엄,15/08식(16년형),"108,415km",가솔린+전기,"1,970"
4655,그랜저 HG,HG220 디젤 모던,15/12식(16년형),"107,665km",디젤,"1,380"
4656,그랜저 HG,HG240 럭셔리,12/01식,"172,506km",가솔린,710
4657,그랜저 HG,LPG HG300 모던,16/07식(17년형),"114,833km",LPG(일반인 구입),"1,395"
4658,그랜저 IG,2.4 프리미엄,17/06식(18년형),"88,793km",가솔린,"1,830"
4659,더 뉴 그랜저 IG 하이브리드,캘리그래피,20/10식,"13,351km",가솔린+전기,"4,230"
4660,그랜저 HG,HG300 노블,11/04식,"167,649km",가솔린,699
4661,그랜저 IG,3.0 LPi 모던 (렌터카),18/04식,"125,157km",LPG(일반인 구입),"1,680"
4662,그랜저 IG,3.0 LPi 모던 (렌터카),18/01식,"129,553km",LPG(일반인 구입),"1,680"
4663,그랜저 HG,HG240 모던 컬렉션,16/03식,"78,765km",가솔린,"1,680"
4664,그랜저 HG,HG220 디젤 프리미엄,14/10식(15년형),"177,078km",디젤,979
4665,그랜저 HG,LPG HG300 모던,14/03식,"203,000km",LPG(일반인 구입),770
4666,그랜저 IG,3.0 LPi 모던 (렌터카),18/03식,"88,877km",LPG(일반인 구입),"2,090"
4667,그랜저 HG,HG220 디젤 모던,15/12식(16년형),"107,665km",디젤,"1,380"
4668,그랜저 뉴 럭셔리,LPI Q270 개인형,08/11식(09년형),"114,882km",LPG(일반인 구입),550
4669,그랜저 TG,L330 탑 메모리팩,06/04식,"163,028km",가솔린,289
4670,그랜저 IG,2.4 프리미엄 스페셜,18/01식,"26,244km",가솔린,"2,920"
4671,더 뉴 그랜저 IG,3.0 LPi 익스클루시브,21/07식(22년형),"11,830km",LPG(일반인 구입),"3,920"
4672,그랜저 HG,LPG HG300 프라임,12/02식,"204,920km",LPG(일반인 구입),675
4673,그랜저 HG,HG220 디젤 모던,15/09식(16년형),"220,000km",디젤,779
4674,그랜저 HG,HG300 프라임,11/01식,"172,000km",가솔린,569
4675,그랜저 IG,2.2 디젤 프리미엄 스페셜,18/03식,"66,840km",디젤,"2,950"
4676,더 뉴 그랜저 IG,2.5 캘리그래피,20/01식,"39,858km",가솔린,"3,599"
4677,그랜저 IG,2.4 프리미엄 스페셜,18/05식,"71,465km",가솔린,"2,860"
4678,그랜저 HG,HG220 디젤 프리미엄,15/11식(16년형),"94,287km",디젤,"1,799"
4679,그랜저 HG,HG220 디젤 프리미엄,15/09식(16년형),"108,162km",디젤,"1,699"
4680,그랜저 HG,HG220 디젤 프리미엄,14/11식(15년형),"70,112km",디젤,"1,849"
4681,그랜저 HG,HG220 디젤 프리미엄,14/12식(15년형),"142,453km",디젤,"1,330"
4682,더 뉴 그랜저 IG 하이브리드,캘리그래피,20/05식,"19,788km",가솔린+전기,"3,530"
4683,그랜저 HG,HG220 디젤 모던,16/07식,"149,440km",디젤,990
4684,그랜저 IG,2.2 디젤 프리미엄 스페셜,18/05식(19년형),"84,598km",디젤,"2,690"
4685,그랜저 IG 하이브리드,익스클루시브,18/03식,"86,190km",가솔린+전기,"2,640"
4686,,,,,,
4687,그랜저 IG 하이브리드,익스클루시브,18/11식(19년형),"79,260km",가솔린+전기,"2,830"
4688,그랜저 IG,3.0 익스클루시브,18/03식,"90,726km",가솔린,"2,040"
4689,더 뉴 그랜저 IG 하이브리드,익스클루시브,20/05식,"52,208km",가솔린+전기,"3,840"
4690,그랜저 IG 하이브리드,익스클루시브,18/10식(19년형),"115,982km",가솔린+전기,"2,320"
4691,그랜저 IG,2.4 모던,19/09식,"55,006km",가솔린,"2,270"
4692,그랜저 HG,HG300 익스클루시브,14/06식(15년형),"128,458km",가솔린,"1,180"
4693,그랜저 HG,HG300 프라임,11/06식,"177,485km",가솔린,780
4694,그랜저 IG,2.4 모던,18/04식,"44,838km",가솔린,"2,250"
4695,그랜저 IG,2.4 익스클루시브 스페셜,18/12식(19년형),"32,143km",가솔린,"2,790"
4696,더 뉴 그랜저 IG,2.5 프리미엄 초이스,20/06식,"11,520km",가솔린,"3,230"
4697,그랜저 IG,3.0 익스클루시브 스페셜,19/04식,"39,860km",가솔린,"3,090"
4698,더 뉴 그랜저 IG,2.5 캘리그래피,20/03식,"25,158km",가솔린,"3,890"
4699,그랜저 IG,3.0 익스클루시브 스페셜,19/02식,"76,963km",가솔린,"2,690"
4700,그랜저 IG 하이브리드,익스클루시브,18/11식(19년형),"79,260km",가솔린+전기,"2,830"
4701,그랜저 IG 하이브리드,익스클루시브,18/03식,"86,190km",가솔린+전기,"2,640"
4702,그랜저 IG 하이브리드,익스클루시브,18/10식(19년형),"115,982km",가솔린+전기,"2,320"
4703,그랜저 IG,3.0 익스클루시브,18/03식,"90,726km",가솔린,"2,040"
4704,더 뉴 그랜저 IG 하이브리드,익스클루시브,20/05식,"52,208km",가솔린+전기,"3,840"
4705,그랜저 HG,LPG HG300 프라임,12/11식,"268,645km",LPG(일반인 구입),600
4706,뉴 그랜저 XG,LPG 2.7,05/05식,"91,214km",LPG(일반인 구입),350
4707,더 뉴 그랜저 IG 하이브리드,캘리그래피,20/01식,"37,000km",가솔린+전기,"3,830"
4708,그랜저 HG,HG240 럭셔리,11/05식,"158,199km",가솔린,720
4709,더 뉴 그랜저 IG,2.5 캘리그래피,21/01식,"23,154km",가솔린,"3,831"
4710,그랜저 IG,3.0 익스클루시브 스페셜,19/02식,"76,963km",가솔린,"2,690"
4711,그랜저 IG,3.0 익스클루시브 스페셜,19/04식,"39,860km",가솔린,"3,090"
4712,더 뉴 그랜저 IG,2.5 캘리그래피,20/03식,"25,158km",가솔린,"3,890"
4713,그랜저 IG,2.4 익스클루시브 스페셜,18/12식(19년형),"32,143km",가솔린,"2,790"
4714,그랜저 IG,2.4 프리미엄,17/06식(18년형),"28,342km",가솔린,"2,260"
4715,더 뉴 그랜저 IG,2.5 프리미엄 초이스,20/06식,"11,520km",가솔린,"3,230"
4716,더 뉴 그랜저 IG,2.5 프리미엄 초이스,19/12식(20년형),"17,072km",가솔린,"3,070"
4717,그랜저 HG,LPG HG300 모던,16/05식(17년형),"33,287km",LPG(일반인 구입),"1,799"
4718,그랜저 HG,LPG HG300 프리미엄,13/12식(14년형),"212,900km",LPG(일반인 구입),878
4719,그랜저 IG,3.0 LPi 모던 (렌터카),17/02식,"77,253km",LPG(일반인 구입),"2,129"
4720,그랜저 HG,HG220 디젤 프리미엄,16/02식,"46,100km",디젤,"2,029"
4721,그랜저 IG,3.0 LPi 모던 (렌터카),17/07식(18년형),"64,986km",LPG(일반인 구입),"2,220"
4722,그랜저 HG,HG300 노블,11/08식,"209,328km",가솔린,630
4723,그랜저 IG,3.0 익스클루시브 스페셜,18/01식,"57,785km",가솔린,"2,630"
4724,그랜저 HG,HG240 모던,14/02식,"144,237km",가솔린,"1,047"
4725,더 럭셔리 그랜저,LPI Q270 장애인용,09/08식(10년형),"198,757km",LPG(일반인 구입),450
4726,그랜저 HG,HG300 익스클루시브,14/04식,"154,830km",가솔린,"1,250"
4727,그랜저 IG,2.4 프리미엄,19/07식,"41,974km",가솔린,"2,650"
4728,,,,,,
4729,그랜저 IG,3.0 LPi 장애인용 프리미엄 스페셜,19/01식,"167,897km",LPG(일반인 구입),"1,850"
4730,그랜저 HG,HG300 로얄,11/02식,"183,839km",가솔린,770
4731,더 뉴 그랜저 IG,2.5 프리미엄,20/02식,"45,000km",가솔린,"3,500"
4732,그랜저 HG,HG300 익스클루시브,13/07식(14년형),"76,465km",가솔린,"1,050"
4733,더 뉴 그랜저 IG,2.5 프리미엄 초이스,20/09식,"47,400km",가솔린,"3,200"
4734,더 뉴 그랜저 IG,2.5 프리미엄,20/03식,"42,900km",가솔린,"3,040"
4735,그랜저 IG,2.4 익스클루시브 스페셜,19/02식,"23,889km",가솔린,"2,199"
4736,그랜저 뉴 럭셔리,Q270 디럭스,09/10식(10년형),"189,523km",가솔린,289
4737,그랜저 HG,HG220 디젤 프리미엄,15/10식(16년형),"143,265km",디젤,"1,399"
4738,그랜저 HG,HG300 익스클루시브,14/06식,"167,398km",가솔린,"1,199"
4739,그랜저 IG,3.0 LPi 익스클루시브 (렌터카),17/08식(18년형),"122,633km",LPG(일반인 구입),"1,989"
4740,그랜저 HG,HG240 럭셔리,11/03식,"97,308km",가솔린,920
4741,그랜저 HG,HG300 익스클루시브,13/06식(14년형),"130,486km",가솔린,"1,189"
4742,그랜저 IG 하이브리드,익스클루시브,19/10식,"33,469km",가솔린+전기,"3,180"
4743,그랜저 IG,3.0 익스클루시브 스페셜,18/09식,"30,576km",가솔린,"2,780"
4744,그랜저 HG,HG240 모던,15/11식(16년형),"94,267km",가솔린,"1,380"
4745,그랜저 IG,3.0 익스클루시브,17/08식(18년형),"55,653km",가솔린,"2,450"
4746,그랜저 IG,3.0 프리미엄,19/05식,"62,009km",가솔린,"2,570"
4747,그랜저 IG,3.0 익스클루시브,17/09식(18년형),"46,504km",가솔린,"2,480"
4748,그랜저 HG,HG240 모던,15/08식(16년형),"96,581km",가솔린,"1,490"
4749,그랜저 IG,2.4 모던,19/03식,"53,534km",가솔린,"2,390"
4750,더 럭셔리 그랜저,Q270 럭셔리 기본형,10/03식,"93,505km",가솔린,570
4751,그랜저 IG,3.0 익스클루시브,18/02식,"42,755km",가솔린,"2,630"
4752,그랜저 HG 하이브리드,프리미엄,14/08식(15년형),"54,909km",가솔린+전기,"1,790"
4753,그랜저 HG,HG240 모던,15/06식,"66,164km",가솔린,"1,480"
4754,그랜저 HG,HG240 모던,14/03식,"78,645km",가솔린,"1,280"
4755,그랜저 TG,Q270 럭셔리 기본형,08/03식,"165,724km",가솔린,290
4756,그랜저 HG,HG300 노블,12/04식,"121,856km",가솔린,949
4757,그랜저 IG,3.0 LPI 익스클루시브 스페셜,17/04식(18년형),"127,700km",LPG(일반인 구입),"2,450"
4758,그랜저 뉴 럭셔리,LPI Q270 팩1,09/11식(10년형),"196,641km",LPG(일반인 구입),280
4759,그랜저 HG,HG300 익스클루시브,13/06식(14년형),"130,486km",가솔린,"1,189"
4760,그랜저 TG,LPI Q270 장애인용,05/11식(06년형),"271,579km",LPG(일반인 구입),250
4761,그랜저 IG,3.0 익스클루시브 스페셜,18/12식(19년형),"28,391km",가솔린,"2,550"
4762,,,,,,
4763,그랜저 HG,HG220 디젤 프리미엄,15/08식(16년형),"143,644km",디젤,"1,249"
4764,그랜저 HG,HG240 럭셔리,12/01식,"128,685km",가솔린,799
4765,그랜저 HG,HG300 익스클루시브,13/05식(14년형),"151,815km",가솔린,"1,030"
4766,그랜저 IG 하이브리드,익스클루시브,19/10식,"33,469km",가솔린+전기,"3,180"
4767,그랜저 HG,HG240 모던,13/06식(14년형),"151,007km",가솔린,920
4768,그랜저 IG,3.0 익스클루시브,17/08식(18년형),"99,943km",가솔린,"1,799"
4769,그랜저 HG,HG240 모던,15/11식(16년형),"94,267km",가솔린,"1,380"
4770,그랜저 IG,3.0 익스클루시브 스페셜,18/09식,"30,576km",가솔린,"2,780"
4771,더 뉴 그랜저 IG 하이브리드,캘리그래피,21/02식,"50,176km",가솔린+전기,"4,200"
4772,그랜저 HG,HG240 모던,13/08식(14년형),"143,069km",가솔린,980
4773,그랜저 IG,3.0 LPi 익스클루시브 (렌터카),17/02식,"140,631km",LPG(일반인 구입),"1,950"
4774,그랜저 HG 하이브리드,프리미엄,14/08식(15년형),"54,909km",가솔린+전기,"1,790"
4775,그랜저 HG,HG240 모던,15/06식,"66,164km",가솔린,"1,480"
4776,그랜저 HG,HG240 모던,14/03식,"78,645km",가솔린,"1,280"
4777,그랜저 IG,2.4 프리미엄,18/10식(19년형),"40,331km",가솔린,"2,790"
4778,그랜저 IG,3.0 익스클루시브,19/03식,"50,390km",가솔린,"2,750"
4779,더 뉴 그랜저 IG 하이브리드,캘리그래피,19/12식(20년형),"28,891km",가솔린+전기,"4,090"
4780,그랜저 IG 하이브리드,익스클루시브 스페셜,18/03식,"51,000km",가솔린+전기,"3,150"
4781,그랜저 IG,2.4 프리미엄,18/07식(19년형),"58,623km",가솔린,"2,380"
