,0,1,2,3,4,5
193,그랜저 HG,HG240 럭셔리,12/03식,"126,367km",가솔린,"1,020"
194,그랜저 HG,HG220 디젤 모던,15/06식(16년형),"107,140km",디젤,"1,299"
195,그랜저 IG,3.0 LPI 모던,19/01식,"83,000km",LPG(일반인 구입),"1,919"
196,그랜저 IG,3.0 익스클루시브 스페셜,19/04식,"90,629km",가솔린,"2,469"
197,더 뉴 그랜저 IG,2.5 캘리그래피,20/06식,"70,605km",가솔린,"3,490"
198,더 뉴 그랜저 IG,2.5 스페셜,20/04식,"70,874km",가솔린,"3,333"
199,그랜저 HG,HG300 프리미엄,14/11식(15년형),"112,000km",가솔린,"1,050"
200,그랜저 IG,3.0 모던 베이직 (렌터카),18/06식(19년형),"11,369km",가솔린,"2,390"
201,그랜저 IG,2.4 프리미엄,18/07식(19년형),"56,175km",가솔린,"2,450"
202,그랜저 IG,2.4 모던,18/04식,"20,970km",가솔린,"2,290"
203,그랜저 IG,2.2 디젤 프리미엄,18/02식,"87,107km",디젤,"2,150"
204,그랜저 HG,HG300 프라임,11/01식,"157,356km",가솔린,699
205,그랜저 IG 하이브리드,익스클루시브 스페셜,19/03식,"72,004km",가솔린+전기,"3,090"
206,더 뉴 그랜저 IG 하이브리드,캘리그래피,21/05식(22년형),"7,055km",가솔린+전기,"4,679"
207,그랜저 IG,3.0 익스클루시브 스페셜,19/03식,"137,705km",가솔린,"1,990"
208,더 뉴 그랜저 IG,2.5 프리미엄 초이스,19/12식(20년형),"18,233km",가솔린,"3,080"
209,더 뉴 그랜저 IG 하이브리드,캘리그래피,21/08식(22년형),"21,721km",가솔린+전기,"4,490"
210,그랜저 뉴 럭셔리,L330 탑 기본형,08/06식(09년형),"125,202km",가솔린,399
211,그랜저 HG,HG240 모던,13/01식,"83,779km",가솔린,"1,148"
212,그랜저 HG,HG240 모던,16/03식,"131,663km",가솔린,"1,090"
213,그랜저 IG,3.0 익스클루시브,17/07식(18년형),"108,680km",가솔린,"1,980"
214,그랜저 IG,2.4 프리미엄,17/09식(18년형),"39,381km",가솔린,"2,400"
215,그랜저 IG,3.0 익스클루시브 스페셜,17/07식(18년형),"56,446km",가솔린,"2,330"
216,그랜저 HG,HG300 익스클루시브,14/01식,"103,424km",가솔린,"1,230"
217,그랜저 IG,2.4 모던,17/12식(18년형),"108,692km",가솔린,"1,600"
218,그랜저 HG,HG240 모던,15/06식(16년형),"101,457km",가솔린,"1,320"
219,더 뉴 그랜저 IG 하이브리드,캘리그래피,19/12식(20년형),"24,815km",가솔린+전기,"4,020"
220,그랜저 HG,HG220 디젤 모던,15/06식(16년형),"179,485km",디젤,899
221,더 뉴 그랜저 IG 하이브리드,프리미엄 초이스,19/12식(20년형),"47,583km",가솔린+전기,"3,490"
222,그랜저 IG,3.0 익스클루시브 스페셜,17/07식(18년형),"63,600km",가솔린,"2,680"
