,model,option,year,odometer,fuel,price,car
41,그랜저 IG 하이브리드,익스클루시브 스페셜,18/02식,100997,가솔린+전기,2590,grandure
42,그랜저 IG,3.0 익스클루시브 스페셜,18/02식,110817,가솔린,1960,grandure
43,그랜저 HG,HG240 럭셔리,12/11식,198163,가솔린,680,grandure
44,그랜저 뉴 럭셔리,Q270 럭셔리 기본형,09/04식,144912,가솔린,290,grandure
45,그랜저 HG,HG240 모던 컬렉션,17/02식,44762,가솔린,1450,grandure
46,그랜저 HG,HG330 셀러브리티,14/04식,70847,가솔린,1389,grandure
47,그랜저 IG,2.4 프리미엄,16/11식(17년형),110000,가솔린,1690,grandure
48,그랜저 IG,2.4 프리미엄,18/04식,166335,가솔린,1550,grandure
49,더 뉴 그랜저 IG,3.0 LPi (렌터카용) 모던,20/08식,35629,LPG(일반인 구입),2590,grandure
50,그랜저 TG,LPI Q270 개인형,07/07식(08년형),203642,LPG(일반인 구입),280,grandure
51,더 뉴 그랜저 IG,2.5 익스클루시브,20/04식,31772,가솔린,3260,grandure
52,더 뉴 그랜저 IG,2.5 익스클루시브,20/02식,21198,가솔린,3380,grandure
53,그랜저 IG 하이브리드,익스클루시브 스페셜,19/07식,31960,가솔린+전기,75,grandure
54,더 뉴 그랜저 IG,3.0 LPi 프리미엄,21/04식,10649,LPG(일반인 구입),60,grandure
55,그랜저 IG,2.4 익스클루시브 스페셜,19/01식,54643,가솔린,2620,grandure
56,더 뉴 그랜저 IG,2.5 익스클루시브,20/09식,14929,가솔린,74,grandure
57,더 뉴 그랜저 IG 하이브리드,캘리그래피,20/03식,15453,가솔린+전기,4090,grandure
58,그랜저 IG,2.4 프리미엄,17/12식(18년형),33621,가솔린,2360,grandure
59,그랜저 IG,3.0 익스클루시브 스페셜,18/08식(19년형),85722,가솔린,2649,grandure
60,더 뉴 그랜저 IG 하이브리드,르블랑,21/08식(22년형),8429,가솔린+전기,4250,grandure
61,그랜저 IG,2.4 프리미엄,17/03식(18년형),61970,가솔린,2300,grandure
62,그랜저 HG,HG330 셀러브리티,13/05식(14년형),145139,가솔린,1450,grandure
63,그랜저 IG 하이브리드,프리미엄,19/06식,38266,가솔린+전기,2930,grandure
64,그랜저 IG,2.4 모던,19/01식,67578,가솔린,2090,grandure
65,더 뉴 그랜저 IG,2.5 프리미엄 초이스,20/02식,41245,가솔린,3130,grandure
66,그랜저 IG,3.0 익스클루시브 스페셜,19/02식,79348,가솔린,2650,grandure
67,그랜저 IG,2.4 프리미엄,18/11식(19년형),50254,가솔린,2510,grandure
68,그랜저 IG,3.0 LPi 모던 (렌터카),19/04식,131858,LPG(일반인 구입),1780,grandure
69,더 뉴 그랜저 IG,2.5 캘리그래피,20/03식,25424,가솔린,3590,grandure
70,그랜저 IG,2.4 프리미엄 스페셜,17/11식(18년형),60070,가솔린,2590,grandure
71,그랜저 HG,HG300 프리미엄,14/01식,166767,가솔린,1000,grandure
72,그랜저 IG,2.4 모던,18/04식,77181,가솔린,1849,grandure
73,그랜저 IG 하이브리드,익스클루시브,17/07식(18년형),62828,가솔린+전기,2750,grandure
74,그랜저 HG,HG240 모던,13/02식,182301,가솔린,990,grandure
75,그랜저 IG,2.4 프리미엄,19/05식,112700,가솔린,1899,grandure
76,그랜저 IG 하이브리드,익스클루시브 스페셜,18/02식,100997,가솔린+전기,2590,grandure
77,그랜저 IG,3.0 익스클루시브 스페셜,18/02식,110817,가솔린,1960,grandure
78,그랜저 HG,LPG HG300 장애인용,14/07식(15년형),140893,LPG(일반인 구입),1299,grandure
79,그랜저 IG,3.0 LPi 익스클루시브 (렌터카),18/01식,70634,LPG(일반인 구입),2730,grandure
80,그랜저 IG,2.4 모던,17/12식(18년형),55592,가솔린,2040,grandure
81,그랜저 HG,HG330 셀러브리티,12/10식,117548,가솔린,1220,grandure
82,더 뉴 그랜저 IG 하이브리드,캘리그래피,19/12식(20년형),40499,가솔린+전기,4130,grandure
83,그랜저 HG,LPG HG300 모던,16/10식(17년형),90685,LPG(일반인 구입),1399,grandure
84,그랜저 HG,HG300 익스클루시브,13/04식(14년형),161312,가솔린,880,grandure
85,그랜저 IG,2.2 디젤 프리미엄,17/03식(18년형),144075,디젤,1890,grandure
86,더 뉴 그랜저 IG 하이브리드,익스클루시브,20/05식,38914,가솔린+전기,3950,grandure
87,그랜저 HG,HG240 럭셔리,11/03식,154618,가솔린,879,grandure
88,그랜저 HG,HG240 모던,16/02식,80900,가솔린,1580,grandure
89,그랜저 HG,HG300 로얄,11/06식,173657,가솔린,699,grandure
90,그랜저 IG,2.4 프리미엄,18/12식(19년형),48726,가솔린,2520,grandure
91,그랜저 HG 하이브리드,프리미엄,14/10식(15년형),137711,가솔린+전기,1380,grandure
92,그랜저 HG,HG300 프라임,12/04식,250829,가솔린,550,grandure
93,그랜저 HG,HG300 프라임,12/05식,172129,가솔린,690,grandure
94,그랜저 IG,3.0 익스클루시브 스페셜,18/02식,134000,가솔린,2095,grandure
95,더 뉴 그랜저 IG 하이브리드,르블랑,22/03식,240,가솔린+전기,3730,grandure
96,그랜저 IG,2.4 모던,18/01식,124619,가솔린,1680,grandure
97,더 뉴 그랜저 IG,2.5 익스클루시브,20/04식,21202,가솔린,3490,grandure
98,그랜저 IG,2.4 모던,17/10식(18년형),75223,가솔린,1880,grandure
99,그랜저 HG,HG240 모던,13/09식(14년형),135967,가솔린,990,grandure
101,그랜저 HG,HG300 익스클루시브,13/04식(14년형),161312,가솔린,880,grandure
102,그랜저 IG,2.2 디젤 프리미엄,17/03식(18년형),144075,디젤,1890,grandure
103,더 뉴 그랜저 IG 하이브리드,익스클루시브,20/05식,38914,가솔린+전기,3950,grandure
104,그랜저 HG,HG240 럭셔리,11/03식,154618,가솔린,879,grandure
105,그랜저 HG,HG240 모던,16/02식,80900,가솔린,1580,grandure
107,그랜저 HG,HG300 로얄,11/06식,173657,가솔린,699,grandure
108,그랜저 IG,2.4 프리미엄,18/12식(19년형),48726,가솔린,2520,grandure
