,model,option,year,odometer,fuel,price,car
256,아반떼 하이브리드 (CN7),인스퍼레이션,20/11식(21년형),36526,가솔린+전기,2790,avante
257,더 뉴 아반떼,1.6 GDi 모던 기본형,14/09식(15년형),113730,가솔린,760,avante
258,아반떼 (CN7),1.6 모던,20/05식(21년형),11659,가솔린,1990,avante
259,아반떼 (CN7),1.6 인스퍼레이션,21/06식,9129,가솔린,2400,avante
260,아반떼 (CN7),1.6 인스퍼레이션,21/03식,22675,가솔린,2390,avante
261,아반떼 AD,1.6 GDI 스마트,16/09식(17년형),72163,가솔린,1120,avante
262,아반떼 AD,1.6 터보 스포츠,18/02식,131034,가솔린,1350,avante
263,아반떼 AD,1.6 GDI 밸류 플러스,17/07식(18년형),118088,가솔린,880,avante
264,더 뉴 아반떼,1.6 GDi 스마트 기본형,14/05식,70218,가솔린,860,avante
265,더 뉴 아반떼 AD,1.6 디젤 스마트,18/12식(19년형),65552,디젤,1470,avante
266,더 뉴 아반떼,1.6 GDi 모던 기본형,14/09식(15년형),118345,가솔린,730,avante
268,아반떼 MD,M16 GDI 럭셔리,11/03식,103279,가솔린,699,avante
269,아반떼 MD,M16 GDI 럭셔리,11/08식(12년형),75672,가솔린,730,avante
270,아반떼 (CN7),1.6 모던,22/03식(23년형),1676,가솔린,2330,avante
271,아반떼 AD,1.6 GDI 스마트,16/09식(17년형),72163,가솔린,1120,avante
272,더 뉴 아반떼,1.6 GDi 모던 기본형,14/04식,21542,가솔린,980,avante
273,아반떼 MD,M16 GDI 프리미어,10/09식(11년형),89902,가솔린,650,avante
274,아반떼 AD,1.6 터보 스포츠 익스트림 셀렉션,16/06식(17년형),122118,가솔린,1150,avante
275,아반떼 AD,1.6 GDI 밸류 플러스,17/02식,25478,가솔린,1400,avante
276,아반떼 (CN7),1.6 인스퍼레이션,21/03식,22675,가솔린,2390,avante
277,더 뉴 아반떼 AD,1.6 LPi 스마트(렌터카용),18/10식(19년형),96437,LPG(일반인 구입),1360,avante
278,아반떼 MD,M16 GDI 스마트,13/02식,48987,가솔린,860,avante
279,아반떼 하이브리드 (CN7),인스퍼레이션,20/11식(21년형),36526,가솔린+전기,2790,avante
280,아반떼 AD,1.6 e-VGT 스마트,16/08식(17년형),74722,디젤,1090,avante
281,아반떼 AD,1.6 GDI 밸류 플러스,16/12식(17년형),50123,가솔린,1195,avante
282,아반떼 AD,1.6 GDI 스타일,18/06식,16100,가솔린,1290,avante
283,아반떼 AD,1.6 터보 스포츠,18/02식,131034,가솔린,1350,avante
284,아반떼 MD,M16 GDI 탑,10/08식(11년형),109495,가솔린,479,avante
285,더 뉴 아반떼,1.6 VGT 프리미엄 기본형,14/06식,76324,디젤,1090,avante
286,아반떼 AD,1.6 e-VGT 스마트 스페셜,15/12식(16년형),83619,디젤,1220,avante
287,더 뉴 아반떼,1.6 GDi 모던 기본형,14/09식(15년형),113730,가솔린,760,avante
288,아반떼 MD,M16 GDI 에비뉴,13/03식,67837,가솔린,850,avante
289,아반떼 (CN7),1.6 인스퍼레이션,21/06식,9129,가솔린,2400,avante
290,아반떼 (CN7),1.6 모던,20/05식(21년형),11659,가솔린,1990,avante
291,아반떼 MD,M16 GDI 디럭스,11/01식,122272,가솔린,499,avante
292,아반떼 AD,1.6 LPI 스타일(렌터카),16/03식,47099,LPG(일반인 구입),1090,avante
293,더 뉴 아반떼 AD,1.6 프리미엄,18/10식(19년형),33614,가솔린,1699,avante
294,더 뉴 아반떼,1.6 GDi 스마트 기본형,13/08식(14년형),132114,가솔린,690,avante
295,아반떼 AD,1.6 GDI 밸류 플러스,18/02식,44402,가솔린,1490,avante
296,아반떼 AD,1.6 e-VGT 스마트,16/04식,190619,디젤,750,avante
297,아반떼 (CN7),1.6 인스퍼레이션,20/06식(21년형),44515,가솔린,2280,avante
298,아반떼 AD,1.6 터보 스포츠,17/03식,76368,가솔린,1390,avante
299,아반떼 (CN7),1.6 모던,22/03식(23년형),1676,가솔린,2330,avante
300,더 뉴 아반떼,1.6 GDi 모던 기본형,14/10식(15년형),92514,가솔린,955,avante
301,아반떼 AD,1.6 GDI 밸류 플러스,17/07식(18년형),84869,가솔린,1250,avante
302,아반떼 AD,1.6 GDI 스마트,16/09식(17년형),63502,가솔린,1320,avante
303,아반떼 AD,1.6 GDI 스타일,17/04식,36912,가솔린,1190,avante
304,아반떼 AD,1.6 GDI 모던,16/12식(17년형),109777,가솔린,870,avante
305,아반떼 AD,1.6 LPI 스타일(렌터카),16/04식,116105,LPG(일반인 구입),790,avante
306,아반떼 AD,1.6 GDI 밸류 플러스,17/12식(18년형),9750,가솔린,920,avante
307,아반떼 MD,M16 GDI 프리미어,12/04식,89007,가솔린,799,avante
308,아반떼 AD,1.6 GDI 모던 스페셜,16/03식,90561,가솔린,1330,avante
309,아반떼 MD,M16 GDI 에비뉴,13/03식,31449,가솔린,950,avante
310,아반떼 AD,1.6 e-VGT 스마트,16/08식(17년형),74722,디젤,1090,avante
311,아반떼 AD,1.6 GDI 프리미엄,16/10식(17년형),81169,가솔린,1190,avante
312,아반떼 AD,1.6 GDI 모던,16/01식,87087,가솔린,1070,avante
313,아반떼 AD,1.6 e-VGT 스마트,16/06식(17년형),122876,디젤,790,avante
