,model,option,year,odometer,fuel,price,car
2879,LF 쏘나타,LPI 모던,16/09식,81053,LPG(일반인 구입),1170,sonata
2880,NF 쏘나타,LPG N20 택시형,07/05식,202000,LPG(일반인 구입),220,sonata
2881,LF 쏘나타 하이브리드,2.0 HEV 모던,16/04식,129657,가솔린+전기,1590,sonata
2882,쏘나타 (DN8),1.6 터보 스마트,19/11식(20년형),26900,가솔린,2090,sonata
2883,쏘나타 더 브릴리언트,LPI 스타일,12/10식(13년형),101777,LPG(일반인 구입),699,sonata
2884,NF 쏘나타,N20 엘레강스 스페셜 고급형,05/12식(06년형),104496,가솔린,299,sonata
2885,NF 쏘나타 트랜스폼,LPG N20 럭셔리,08/02식,156552,LPG(일반인 구입),350,sonata
2886,YF 쏘나타,LPI 럭셔리,11/10식(12년형),157164,LPG(일반인 구입),499,sonata
2887,YF 쏘나타,Y20 탑 고급형,10/08식,47955,가솔린,820,sonata
2888,LF 쏘나타,LPI 스마트,14/09식(15년형),120647,LPG(일반인 구입),850,sonata
2889,쏘나타 (DN8),2.0 프리미엄 패밀리,19/08식(20년형),87873,가솔린,1969,sonata
2890,쏘나타 하이브리드 (DN8),인스퍼레이션,19/09식(20년형),19000,가솔린+전기,3290,sonata
2891,쏘나타 뉴 라이즈,2.0 모던,18/01식,100754,가솔린,1430,sonata
2892,LF 쏘나타,2.0 케어플러스,17/05식,100534,가솔린,1590,sonata
2893,NF 쏘나타 트랜스폼,LPG N20 럭셔리,09/06식(10년형),119595,LPG(일반인 구입),390,sonata
2894,쏘나타 뉴 라이즈,2.0 모던,18/01식,100754,가솔린,1430,sonata
2895,쏘나타 (DN8),2.0 인스퍼레이션,19/05식(20년형),13049,가솔린,2800,sonata
2897,LF 쏘나타,2.0 스마트,16/01식,69621,가솔린,1430,sonata
2898,LF 쏘나타,2.0 스마트,15/01식,136385,가솔린,980,sonata
2899,쏘나타 (DN8),2.0 프리미엄 밀레니얼,19/04식(20년형),57060,가솔린,2390,sonata
2900,YF 쏘나타,LPI 디럭스,13/04식,161494,LPG(일반인 구입),590,sonata
2901,LF 쏘나타 하이브리드,2.0 HEV 모던 스페셜,16/08식(17년형),102690,가솔린+전기,1590,sonata
2902,쏘나타 (DN8),2.0 LPG 프리미엄,19/08식(20년형),98594,LPG(일반인 구입),1830,sonata
2903,LF 쏘나타,2.0 프리미엄,14/08식(15년형),55780,가솔린,1640,sonata
2904,LF 쏘나타,2.0 터보 스마트,15/06식,105364,가솔린,1455,sonata
2905,YF 쏘나타,F24 GDI 최고급형,10/02식,138706,가솔린,590,sonata
2906,NF 쏘나타,N20 엘레강스 스페셜 고급형,06/12식(07년형),98093,가솔린,290,sonata
2907,YF 쏘나타,Y20 프라임 고급형,10/07식(11년형),118665,가솔린,500,sonata
2908,쏘나타 (DN8),1.6 터보 인스퍼레이션,21/03식,15800,가솔린,9999,sonata
