,model,option,year,odometer,fuel,price,car
2312,더 뉴 싼타페,디젤 2.2 2WD 캘리그래피,20/08식(21년형),18476,디젤,3670,santafe
2313,싼타페 TM,가솔린 2.0T 2WD 프리미엄,18/09식(19년형),30980,가솔린,2450,santafe
2314,싼타페 TM,디젤 2.2 4WD 인스퍼레이션,20/04식,23616,디젤,3740,santafe
2315,싼타페 TM,가솔린 2.0T 2WD 프리미엄,18/05식(19년형),46490,가솔린,2370,santafe
2316,싼타페 더 프라임,디젤 2.0 2WD 스마트,15/06식(16년형),77862,디젤,1599,santafe
2317,싼타페 DM,디젤(e-VGT) 2.0 2WD 프리미엄,12/10식(13년형),125000,디젤,1290,santafe
2318,싼타페 TM,디젤 2.0 2WD 익스클루시브 스페셜,18/06식(19년형),68722,디젤,5555,santafe
2319,싼타페 TM,디젤 2.2 4WD 인스퍼레이션,20/04식,23616,디젤,3740,santafe
2320,싼타페 TM,가솔린 2.0T 2WD 프리미엄,18/05식(19년형),46490,가솔린,2370,santafe
2321,싼타페 더 프라임,디젤 2.0 2WD 프리미엄,16/04식,51566,디젤,1880,santafe
2322,싼타페 TM,디젤 2.0 2WD 익스클루시브,18/10식(19년형),62609,디젤,2590,santafe
2323,싼타페 더 프라임,디젤 2.0 2WD 프리미엄,17/03식,27382,디젤,2190,santafe
2324,싼타페 TM,디젤 2.0 2WD 프리미엄,18/12식(19년형),85427,디젤,2300,santafe
2325,싼타페 TM,디젤 2.0 2WD 익스클루시브,18/10식(19년형),62609,디젤,2590,santafe
2326,싼타페 더 프라임,디젤 2.0 2WD 프리미엄,17/03식,27382,디젤,2190,santafe
2327,싼타페 DM,디젤(e-VGT) 2.0 2WD 익스클루시브,14/04식(15년형),68000,디젤,1720,santafe
2328,싼타페 TM,디젤 2.0 2WD 프레스티지,19/11식(20년형),26191,디젤,3100,santafe
2329,싼타페 더 프라임,디젤 2.0 2WD 밸류 플러스,17/03식(18년형),122499,디젤,1850,santafe
2330,싼타페 더 프라임,디젤 2.0 4WD 프리미엄,15/10식(16년형),163370,디젤,1500,santafe
2331,싼타페 DM,디젤(e-VGT) 2.0 4WD 프리미엄,14/03식(15년형),172090,디젤,1260,santafe
2332,싼타페 DM,디젤(e-VGT) 2.0 2WD 익스클루시브 스페셜,14/12식(15년형),142983,디젤,1530,santafe
2333,싼타페 더 프라임,디젤 2.0 4WD 프리미엄,15/09식(16년형),60387,디젤,1699,santafe
2334,싼타페 DM,디젤(e-VGT) 2.0 4WD 프리미엄,14/03식(15년형),126388,디젤,1459,santafe
2335,더 뉴 싼타페,디젤 2.2 2WD 프리미엄 초이스,20/10식(21년형),15210,디젤,3169,santafe
2336,싼타페 DM,디젤(e-VGT) 2.0 4WD 프리미엄,13/01식,102627,디젤,1369,santafe
2337,싼타페 TM,디젤 2.0 2WD 익스클루시브,18/03식(19년형),53114,디젤,2699,santafe
2338,싼타페 DM,디젤(e-VGT) 2.0 2WD 프리미엄,13/03식,135202,디젤,1369,santafe
2339,싼타페 TM,디젤 2.0 4WD 프리미엄,19/09식(20년형),121746,디젤,1990,santafe
