,model,option,year,odometer,fuel,price,car
2146,EQ900,3.8 GDI AWD 프리미엄 럭셔리,17/03식,115486,가솔린,3750,genesis
2147,G80,3.3 GDI AWD 럭셔리,19/04식,84147,가솔린,2990,genesis
2148,G80,3.3 GDI AWD 프리미엄 럭셔리,17/04식,66647,가솔린,3290,genesis
2149,G70,2.0T AWD 슈프림,18/04식,45001,가솔린,3350,genesis
2150,G80,3.3 GDI AWD 프레스티지,18/03식,129698,가솔린,2890,genesis
2151,G90,3.3 T AWD 프리미엄 럭셔리,19/01식,41519,가솔린,6850,genesis
2152,G80,3.3 GDI 프레스티지,18/07식,58000,가솔린,3450,genesis
2153,EQ900,3.8 GDI AWD 프리미엄 럭셔리,18/03식,132233,가솔린,3420,genesis
2154,G80,3.3 GDI AWD 프리미엄 럭셔리,19/04식,48005,가솔린,4130,genesis
2155,G90,3.3 T 럭셔리,19/01식,118967,가솔린,5500,genesis
2156,G90,3.8 AWD 프레스티지,20/02식,62553,가솔린,7570,genesis
2157,G80,3.3 GDI 럭셔리,17/08식(18년형),52553,가솔린,2820,genesis
2158,G80,3.8 GDI AWD 프레스티지,19/09식,75705,가솔린,3500,genesis
2159,G80,3.3 GDI AWD 프리미엄 럭셔리,18/01식,32156,가솔린,3670,genesis
2160,G80,3.3 GDI AWD 프리미엄 럭셔리,16/09식(17년형),119485,가솔린,2799,genesis
2161,EQ900,3.8 GDI AWD 프리미엄 럭셔리,17/08식(18년형),100575,가솔린,3680,genesis
2162,G80,3.3 GDI AWD 럭셔리,18/04식,5655,가솔린,3500,genesis
2163,G80 (RG3),가솔린 2.5 터보 AWD,21/10식(22년형),3977,가솔린,6150,genesis
2164,G80,3.3 GDI AWD 럭셔리,19/04식,84147,가솔린,2990,genesis
2165,G80,2.2D AWD 프리미엄 럭셔리,18/03식,86184,디젤,3850,genesis
2166,EQ900,3.8 GDI AWD 프리미엄 럭셔리,18/06식,77613,가솔린,4350,genesis
2168,G90,3.8 럭셔리,18/12식(19년형),50936,가솔린,5780,genesis
2169,G80,3.3 GDI AWD 프리미엄 럭셔리,18/04식,34716,가솔린,3399,genesis
2170,G90,3.3 T AWD 프리미엄 럭셔리,19/01식,41519,가솔린,6850,genesis
2171,G80,3.3 GDI AWD 럭셔리,19/03식,61529,가솔린,3270,genesis
2172,G80,3.3 GDI AWD 프리미엄 럭셔리,16/08식(17년형),162372,가솔린,2230,genesis
2173,G80,2.2D AWD 럭셔리,19/01식,76738,디젤,3650,genesis
